fund_id,gp_name,fund_name,short_name,vintage_year,fund_size_usd_bn,target_size_usd_bn,percent_above_target,final_close_year,final_close_date,status,strategy_type,geography,asset_class,lp_led_focus,gp_led_focus,single_asset_cv_focus,private_wealth_channel,co_investment_or_overflow,strategic_archetype,core_edge,key_risk,neo_takeaway,source_url,source_type,source_confidence,last_checked,notes,last_updated
F001,Ardian,Ardian Secondary Fund IX,ASF IX,2022,30.0,25.0,20,2025,2025-01,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,No,Yes,Mega-scale LP-led secondaries platform,"Global LP relationships, proprietary data, and execution at very large scale","Fund size may pressure returns; crowded markets can narrow discounts","Copy data discipline and LP relationship mapping. Do not copy mega-scale strategy.",https://www.reuters.com/business/finance/private-equity-secondary-sales-hit-record-ardian-closes-30-bln-fund-2025-01-17/,News/GP announcement,High,2026-06-08,"Largest secondaries fundraise; partly deployed per Reuters",2026-06-08
F002,Lexington Partners,Lexington Capital Partners XI,LCP XI,2025,25.0,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Fundraising,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,Yes,Possible,Institutional diversified secondaries specialist,"Repeatable underwriting, long track record, disciplined portfolio construction","Larger fund sizes can dilute alpha and increase dependence on broad market beta","Copy underwriting process and vintage diversification discipline.",NEEDS_MANUAL_REVIEW,News/market reports,Medium,2026-06-08,"In market; verify target and first close through Secondaries Investor/PitchBook",2026-06-08
F003,Lexington Partners,Lexington Capital Partners X,LCP X,2022,22.7,15.0,51,2024,2024-01,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,Yes,Possible,Institutional diversified secondaries specialist,"Repeatable underwriting, long track record, disciplined portfolio construction","Larger fund sizes can dilute alpha and increase dependence on broad market beta","Copy standardized underwriting templates and manager scorecards.",https://www.lexingtonpartners.com/press-releases/lexington-partners-raises-22-7-billion-for-global-secondary-fund/,GP press release,High,2026-06-08,"Closed above $15bn target; exceeded LCP IX",2026-06-08
F004,Blackstone Strategic Partners,Strategic Partners X,SP X,2025,22.5,22.0,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Fundraising,Diversified secondaries + GP-led,Global,Private Equity,Yes,Yes,Possible,Yes,Possible,Platform-powered secondaries franchise,"GP access, Blackstone brand, alternatives platform, private wealth reach","Scale pressure and platform conflict perception","Copy platform integration with broader alternatives. Monitor conflicts.",https://www.secondariesinvestor.com/blackstone-targets-22bn-for-strategic-partners-fund-x/,News/paywalled,Medium,2026-06-08,"Fundraising target requires verification through Secondaries Investor",2026-06-08
F005,Blackstone Strategic Partners,Strategic Partners IX,SP IX,2022,22.2,13.5,64,2023,2023-01-18,Closed,Diversified secondaries + GP-led,Global,Private Equity,Yes,Yes,Possible,Yes,Yes,Platform-powered secondaries franchise,"GP access, Blackstone brand, alternatives platform, private wealth reach","Scale pressure and platform conflict perception","Copy GP-led overlay strategy alongside core LP-led fund.",https://www.blackstone.com/news/press/blackstone-strategic-partners-closes-record-private-equity-secondary-funds-at-25-billion/,GP press release,High,2026-06-08,"SP IX $22.2bn plus SP GPS $2.7bn GP-led vehicle",2026-06-08
F006,HarbourVest Partners,Dover Street XII,Dover Street XII,2025,20.0,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Fundraising,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,No,Possible,Multi-strategy private markets platform with secondaries depth,"Primaries, co-investments, and secondaries intelligence in one platform","Breadth can dilute specialist positioning","Copy core fund plus overflow co-investment structure.",NEEDS_MANUAL_REVIEW,News/market reports,Medium,2026-06-08,"In market; verify through Secondaries Investor/PitchBook",2026-06-08
F007,Ardian,Ardian Secondary Fund VIII,ASF VIII,2018,19.0,NOT_AVAILABLE_PUBLICLY,58,2020,2020,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,No,Yes,Mega-scale LP-led secondaries platform,"Global LP relationships, proprietary data, and execution at very large scale","Fund size may pressure returns; crowded markets can narrow discounts","Study the sourcing and LP coverage model at scale.",https://www.ardian.com/news-insights/press-releases/global-investors-buy-record-ardian-19-billion-secondaries-platform,GP press release,High,2026-06-08,"$19bn platform; exceeded prior ASF VII",2026-06-08
F008,Coller Capital,Coller International Partners IX,CIP IX,2023,17.0,10.0,70,2026,2026-01-13,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Yes,Possible,Possible,Secondaries-native specialist,"Deep specialist identity and long secondaries history","Competing against larger balance sheets and mega-platforms","Copy specialist liquidity-solutions positioning.",https://www.collercapital.com/coller-capital-raises-17-billion-for-global-private-equity-secondaries-platform/,GP press release,High,2026-06-08,"LP-led and GP-led; 70% above target",2026-06-08
F009,HarbourVest Partners,Dover Street XI,Dover Street XI,2022,15.1,12.0,26,2024,2024-08,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,No,Yes,Multi-strategy private markets platform with secondaries depth,"Primaries, co-investments, and secondaries intelligence in one platform","Breadth can dilute specialist positioning","Copy overflow vehicle structure alongside main fund.",https://www.wsj.com/articles/harbourvest-enters-new-territory-with-18-5-billion-to-back-secondary-deals-273633a5,News,High,2026-06-08,"$15.1bn main fund plus $3.4bn overflow vehicle",2026-06-08
F010,Carlyle AlpInvest,AlpInvest Secondaries Fund VIII,ASF VIII AlpInvest,2023,15.0,NOT_AVAILABLE_PUBLICLY,NOT_AVAILABLE_PUBLICLY,2025,2025-09-12,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,Yes,Yes,Institutional-quality secondaries platform with private wealth extension,"Co-investment capital, platform credibility, and private wealth access","Parent-platform conflicts and scale pressure","Copy hard-cap discipline plus separate private wealth co-investment vehicles.",https://www.loyensloeff.com/insights/news--events/news/usd-20-billion-raised-carlyle-alpinvest-successfully-closes-secondaries-fund-viii/,Advisor/press report,High,2026-06-08,"$15bn hard cap plus co-investments and private wealth vehicles",2026-06-08
F011,Goldman Sachs Asset Management,Vintage Fund IX,Vintage IX,2022,14.2,NOT_AVAILABLE_PUBLICLY,19,2023,2023-09-20,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,Yes,Possible,Distribution-led global secondaries platform,"Brand, institutional network, private wealth channel, broad alternatives platform","Product distribution can outrun investment differentiation","Copy client education program and co-investment packaging.",https://am.gs.com/en-cn/institutions/news/press-release/2023/goldman-sachs-asset-management-raises-over-15-billion-for-private-market-secondaries-strategies,GP press release,High,2026-06-08,"$14.2bn equity commitments; above target",2026-06-08
F012,Ardian,Ardian Secondary Fund VII,ASF VII,2015,14.0,NOT_AVAILABLE_PUBLICLY,56,2016,2016,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,No,Possible,Mega-scale LP-led secondaries platform,"Global LP relationships, proprietary data, and execution at very large scale","Fund size may pressure returns; crowded markets can narrow discounts","Mature fund; useful DPI benchmark for Ardian vintage series.",https://www.ardian.com/news-insights/press-releases/global-investors-buy-record-ardian-19-billion-secondaries-platform,GP press release,Medium,2026-06-08,"Prior platform size referenced in ASF VIII announcement",2026-06-08
F013,Lexington Partners,Lexington Capital Partners IX,LCP IX,2018,14.0,12.0,17,2020,2020-01-15,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,Yes,Possible,Institutional diversified secondaries specialist,"Repeatable underwriting, long track record, disciplined portfolio construction","Larger fund sizes can dilute alpha and increase dependence on broad market beta","Good benchmark for LCP series underwriting consistency.",https://www.lexingtonpartners.com/press-releases/lexington-capital-partners-ix-closes-at-14-billion/,GP press release,High,2026-06-08,"Closed at $14bn; over 450 investors",2026-06-08
F014,Blackstone Strategic Partners,Strategic Partners VIII,SP VIII,2018,11.1,8.0,39,2019,2019,Closed,Diversified secondaries,Global,Private Equity,Yes,Yes,Possible,Possible,Possible,Platform-powered secondaries franchise,"GP access, Blackstone brand, alternatives platform, private wealth reach","Scale pressure and platform conflict perception","Mature fund; strong DPI benchmark for Blackstone SP series.",https://www.blackstone.com/news/press/blackstone-strategic-partners-closes-eighth-fund-at-11-1-billion/,GP press release,High,2026-06-08,"Closed at $11.1bn",2026-06-08
F015,ICG Strategic Equity,ICG Strategic Equity V,ICGSE V,2024,11.0,6.0,83,2025,2025-03-03,Closed,GP-led secondaries,North America and Western Europe,Private Equity,No,Yes,Yes,No,Possible,GP-led / single-asset continuation vehicle specialist,"Asset-level underwriting and GP-led structuring expertise","Concentration risk, GP conflicts, valuation risk, and exit risk","Copy GP-led single-asset underwriting checklist and GP alignment checks.",https://www.icgam.com/2025/03/03/icg-strategic-equity-completes-record-fundraise-of-11bn/,GP press release,High,2026-06-08,"GP-led specialist; more than doubled predecessor ICGSE IV",2026-06-08
